"elementName", "elementContent", "typeAttributeIfPresent"
"geogFeat Moselle rivière"
"placeName >Rethel "
"placeName Aix-la-Chapelle "
"placeName Aix-la-Chapelle "
"placeName Alençon "
"placeName Algérie "
"placeName Algérie "
"placeName Allemagne "
"placeName Amiens "
"placeName Amérique "
"placeName Amérique "
"placeName Angers "
"placeName Armentières "
"placeName Arras "
"placeName Aubusson "
"placeName Austrasie "
"placeName Austrasie "
"placeName Austrasie "
"placeName Bayonne "
"placeName Beaucaire "
"placeName Beauvais "
"placeName Beffroi de Douai "
"placeName Belgique "
"placeName Bernay "
"placeName Bordeaux "
"placeName Bordeaux "
"placeName Bordeaux "
"placeName Bordeaux "
"placeName Cambrai "
"placeName Cambrai "
"placeName Cambrai "
"placeName Cambrai "
"placeName Carcassonne "
"placeName Castres "
"placeName Champagne "
"placeName Chantilly "
"placeName Chine "
"placeName Cholet "
"placeName Châtellerault "
"placeName Condé-sur- Noireau "
"placeName Egypte "
"placeName Elbeuf "
"placeName Elbeuf "
"placeName Elbeuf "
"placeName Espagne "
"placeName Espagne "
"placeName Etats-Unis "
"placeName Europe "
"placeName Europe "
"placeName Europe "
"placeName Flandre "
"placeName Flers "
"placeName Fragicourt fictif"
"placeName Fragicourt fictif"
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France réel"
"placeName Grenoble "
"placeName Hindoustan "
"placeName Hôtel de ville de Saint-Quentin "
"placeName Inde "
"placeName Japon "
"placeName Laval "
"placeName Lavaur "
"placeName Le Mans "
"placeName Le Puy "
"placeName Lisieux "
"placeName Lisieux "
"placeName Lodève "
"placeName Lodève "
"placeName Louviers "
"placeName Lyon "
"placeName Lyon "
"placeName Marne "
"placeName Marseille "
"placeName Mazamet "
"placeName Midi "
"placeName Nantes "
"placeName Neustrie "
"placeName Nord "
"placeName Nord "
"placeName Normandie "
"placeName Notre-Dame de Paris "
"placeName Orléans "
"placeName Paris "
"placeName Paris "
"placeName Paris "
"placeName Paris "
"placeName Privas "
"placeName Provins "
"placeName Puteaux "
"placeName Rambouillet "
"placeName Reims "
"placeName Reims "
"placeName Reims "
"placeName Reims "
"placeName Reims "
"placeName Roanne "
"placeName Roubaix "
"placeName Roubaix "
"placeName Roubaix "
"placeName Roubaix "
"placeName Roubaix "
"placeName Rouen "
"placeName Rouen "
"placeName Saint-Denis "
"placeName Saint-Omer "
"placeName Saint-Quentin "
"placeName Saint-Quentin "
"placeName Saint-Quentin "
"placeName Saint-Quentin "
"placeName Saint-Quentin "
"placeName Saint-Étienne "
"placeName Sainte-Chapelle "
"placeName Sedan "
"placeName Sedan "
"placeName Sedan "
"placeName Seine-Inférieure "
"placeName Seine-Inférieure "
"placeName Tourcoing "
"placeName Tourcoing "
"placeName Tours "
"placeName Troyes "
"placeName Troyes "
"placeName Valence "
"placeName Valenciennes "
"placeName Vermandois "
"placeName basilique "
"placeName beffroi "
"placeName beffroi "
"placeName beffroi "
"placeName cathédrale de Saint-Denis "
"placeName hôtel de ville "
"placeName hôtel de ville "
"placeName hôtel de ville "
"placeName hôtel de ville "
"placeName hôtel de ville "
"placeName hôtel de ville de Saint-Quentin "
"placeName Égypte "
"placeName Égypte "
"placeName Épinal "
"placeName États-Unis "
"placeName église "
